"","plec","edukacja","wiek","waga","rok"
"1","mężczyzna","podstawowe i niższe","25-34 lata",45.064814059875,"2000"
"2","mężczyzna","podstawowe i niższe","35-44 lata",65.601413587375,"2000"
"3","mężczyzna","podstawowe i niższe","45-59 lat",171.474419492,"2000"
"4","mężczyzna","podstawowe i niższe","60-64 lata",76.09123664855,"2000"
"5","mężczyzna","podstawowe i niższe","65+ lat",250.858480154425,"2000"
"6","mężczyzna","zasadnicze zawodowe/gimanzjum","25-34 lata",275.453483410825,"2000"
"7","mężczyzna","zasadnicze zawodowe/gimanzjum","35-44 lata",301.745271588675,"2000"
"8","mężczyzna","zasadnicze zawodowe/gimanzjum","45-59 lat",291.9947524696,"2000"
"9","mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata",50.831106233625,"2000"
"10","mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat",76.1927035963,"2000"
"11","mężczyzna","średnie","25-34 lata",176.3847346295,"2000"
"12","mężczyzna","średnie","35-44 lata",160.64218683175,"2000"
"13","mężczyzna","średnie","45-59 lat",219.1189605098,"2000"
"14","mężczyzna","średnie","60-64 lata",29.61701225025,"2000"
"15","mężczyzna","średnie","65+ lat",85.434478183875,"2000"
"16","mężczyzna","wyższe i policealne","25-34 lata",92.02273492495,"2000"
"17","mężczyzna","wyższe i policealne","35-44 lata",73.1691709335,"2000"
"18","mężczyzna","wyższe i policealne","45-59 lat",130.69984682935,"2000"
"19","mężczyzna","wyższe i policealne","60-64 lata",22.3488861485,"2000"
"20","mężczyzna","wyższe i policealne","65+ lat",56.70275416375,"2000"
"21","kobieta","podstawowe i niższe","25-34 lata",49.772232143375,"2000"
"22","kobieta","podstawowe i niższe","35-44 lata",64.9331783495,"2000"
"23","kobieta","podstawowe i niższe","45-59 lat",245.6821008076,"2000"
"24","kobieta","podstawowe i niższe","60-64 lata",118.3488927156,"2000"
"25","kobieta","podstawowe i niższe","65+ lat",471.6573637697,"2000"
"26","kobieta","zasadnicze zawodowe/gimanzjum","25-34 lata",184.0876769039,"2000"
"27","kobieta","zasadnicze zawodowe/gimanzjum","35-44 lata",204.541872991,"2000"
